timestamp;energy_used;solar_produced
1577833200;0.475;0
1577836800;0.92;0
1577840400;0.669;0
1577844000;0.368;0
1577847600;0.393;0
1577851200;0.817;0
1577854800;0.678;0
1577858400;0.704;0
1577862000;0.816;0
1577865600;0.24;0.03
1577869200;0.499;0.11
1577872800;0.751;0.22
1577876400;0.619;0.38
1577880000;0.619;0.45
1577883600;2.167;0.28
1577887200;2.163;0.12
1577890800;2.759;0.01
1577894400;3.179;0
1577898000;1.731;0
1577901600;2.903;0
1577905200;1.714;0
1577908800;1.122;0
1577912400;0.941;0
1577916000;0.193;0
1577919600;1.001;0
1577923200;0.785;0
1577926800;0.713;0
1577930400;0.7;0
1577934000;0.817;0
1577937600;0.741;0
1577941200;0.998;0
1577944800;2.377;0
1577948400;1.826;0
1577952000;3.008;0
1577955600;1.137;0
1577959200;0.24;0
1577962800;0.235;0
1577966400;0.832;0
1577970000;0.597;0
1577973600;0.407;0
1577977200;1.366;0
1577980800;1.317;0
1577984400;1.585;0
1577988000;2.189;0
1577991600;0.516;0
1577995200;0.47;0
1577998800;0.404;0
1578002400;0.708;0
1578006000;0.372;0
1578009600;0.375;0
1578013200;0.479;0
1578016800;0.416;0
1578020400;0.401;0
1578024000;0.398;0
1578027600;0.537;0
1578031200;2.583;0
1578034800;1.727;0
1578038400;2.232;0.05
1578042000;2.467;0.1
1578045600;0.409;0.22
1578049200;0.608;0.25
1578052800;0.803;0.19
1578056400;0.635;0.2
1578060000;0.66;0.17
1578063600;1.013;0
1578067200;1.714;0
1578070800;1.302;0
1578074400;2.065;0
1578078000;1.827;0
1578081600;1.006;0
1578085200;0.567;0
1578088800;0.42;0
1578092400;0.383;0
1578096000;0.625;0
1578099600;0.59;0
1578103200;0.554;0
1578106800;0.595;0
1578110400;0.6;0
1578114000;0.581;0
1578117600;0.551;0
1578121200;0.575;0
1578124800;0.773;0.09
1578128400;1.662;0.55
1578132000;1.304;1.05
1578135600;0.388;1.07
1578139200;0.553;0.37
1578142800;0.698;0.17
1578146400;0.713;0.07
1578150000;0.956;0.01
1578153600;1.78;0
1578157200;0.414;0
1578160800;0.5;0
1578164400;0.605;0
1578168000;0.679;0
1578171600;0.559;0
1578175200;0.338;0
1578178800;0.462;0
1578182400;0.429;0
1578186000;0.379;0
1578189600;0.477;0
1578193200;0.488;0
1578196800;0.396;0
1578200400;0.356;0
1578204000;0.524;0
1578207600;0.561;0
1578211200;1.947;0.03
1578214800;2.111;0.13
1578218400;3.819;0.27
1578222000;1.049;0.27
1578225600;0.781;0.22
1578229200;0.347;0.19
1578232800;0.725;0.13
1578236400;1.64;0.02
1578240000;1.251;0
1578243600;0.501;0
1578247200;0.135;0
1578250800;0.166;0
1578254400;0.724;0
1578258000;1.278;0
1578261600;0.128;0
1578265200;0.447;0
1578268800;0.473;0
1578272400;0.434;0
1578276000;0.414;0
1578279600;0.459;0
1578283200;0.494;0
1578286800;0.793;0
1578290400;1.773;0
1578294000;2.727;0
1578297600;1.293;0.02
1578301200;0.404;0.18
1578304800;0.513;0.64
1578308400;0.329;1.6
1578312000;0.141;1.3
1578315600;0.119;1.07
1578319200;0.51;0.94
1578322800;0.614;0.11
1578326400;1.161;0
1578330000;0.531;0
1578333600;1.807;0
1578337200;1.055;0
1578340800;0.486;0
1578344400;0.157;0
1578348000;0.679;0
1578351600;0.429;0
1578355200;0.47;0
1578358800;0.373;0
1578362400;0.509;0
1578366000;0.355;0
1578369600;0.404;0
1578373200;0.544;0
1578376800;1.843;0
1578380400;1.623;0.01
1578384000;0.717;0.55
1578387600;0.248;1.2
1578391200;0.139;0.66
1578394800;1.295;1.45
1578398400;0.473;0.71
1578402000;0.123;0.3
1578405600;0.134;0.16
1578409200;0.342;0.02
1578412800;0.463;0
1578416400;0.869;0
1578420000;0.867;0
1578423600;1.194;0
1578427200;1.233;0
1578430800;0.26;0
1578434400;0.543;0
1578438000;0.375;0
1578441600;0.375;0
1578445200;0.404;0
1578448800;0.449;0
1578452400;0.363;0
1578456000;0.361;0
1578459600;0.444;0
1578463200;1.338;0
1578466800;1.429;0
1578470400;0.238;0.03
1578474000;0.151;0.26
1578477600;0.134;0.46
1578481200;0.134;0.48
1578484800;0.143;0.61
1578488400;0.164;0.36
1578492000;0.153;0.17
1578495600;0.687;0.01
1578499200;1.196;0
1578502800;0.525;0
1578506400;1.516;0
1578510000;1.338;0
1578513600;0.508;0
1578517200;0.285;0
1578520800;0.444;0
1578524400;0.351;0
1578528000;0.407;0
1578531600;0.389;0
1578535200;0.499;0
1578538800;0.355;0
1578542400;0.237;0
1578546000;0.228;0
1578549600;2.753;0
1578553200;1.48;0
1578556800;0.486;0.03
1578560400;0.389;0.1
1578564000;0.471;0.21
1578567600;0.607;0.24
1578571200;0.885;0.17
1578574800;0.284;0.08
1578578400;0.222;0.05
1578582000;0.237;0
1578585600;1.102;0
1578589200;0.574;0
1578592800;0.53;0
1578596400;2.27;0
1578600000;0.487;0
1578603600;0.164;0
1578607200;0.13;0
1578610800;0.468;0
1578614400;0.342;0
1578618000;0.127;0
1578621600;0.431;0
1578625200;0.366;0
1578628800;0.382;0
1578632400;0.467;0
1578636000;1.934;0
1578639600;1.852;0
1578643200;0.189;0.12
1578646800;2.863;0.6
1578650400;0.469;0.76
1578654000;0.149;1.28
1578657600;0.76;1.02
1578661200;0.279;0.67
1578664800;0.13;0.79
1578668400;0.18;0.1
1578672000;1.026;0
1578675600;2.083;0
1578679200;0.685;0
1578682800;0.498;0
1578686400;0.504;0
1578690000;0.243;0
1578693600;1.015;0
1578697200;0.509;0
1578700800;0.124;0
1578704400;0.436;0
1578708000;0.624;0
1578711600;0.26;0
1578715200;0.221;0
1578718800;0.84;0
1578722400;0.619;0
1578726000;0.839;0
1578729600;1.651;0.17
1578733200;2.073;0.54
1578736800;0.396;1.21
1578740400;0.267;1.32
1578744000;0.673;1.04
1578747600;0.801;0.81
1578751200;2.222;0.31
1578754800;2.21;0.08
1578758400;2.301;0
1578762000;2.325;0
1578765600;2.286;0
1578769200;2.274;0
1578772800;2.257;0
1578776400;3.067;0
1578780000;2.687;0
1578783600;2.392;0
1578787200;2.41;0
1578790800;2.436;0
1578794400;2.468;0
1578798000;2.339;0
1578801600;2.356;0
1578805200;2.476;0
1578808800;2.603;0
1578812400;4.046;0
1578816000;2.605;0.07
1578819600;4.219;0.12
1578823200;2.526;0.2
1578826800;2.379;0.17
1578830400;2.445;0.26
1578834000;2.515;0.34
1578837600;3.002;0.27
1578841200;2.416;0.03
1578844800;2.475;0
1578848400;2.542;0
1578852000;2.546;0
1578855600;2.446;0
1578859200;2.439;0
1578862800;2.35;0
1578866400;1.371;0
1578870000;0.418;0
1578873600;0.43;0
1578877200;2.17;0
1578880800;2.456;0
1578884400;0.832;0
1578888000;0.431;0
1578891600;0.935;0
1578895200;4.328;0
1578898800;4.042;0
1578902400;1.261;0.19
1578906000;0.494;0.44
1578909600;1.234;1.3
1578913200;3.646;1.67
1578916800;2.068;1
1578920400;0.585;1.2
1578924000;0.342;0.49
1578927600;1.515;0.09
1578931200;3.124;0
1578934800;1.901;0
1578938400;3.482;0
1578942000;2.479;0
1578945600;1.079;0
1578949200;0.336;0
1578952800;0.687;0
1578956400;2.249;0
1578960000;2.221;0
1578963600;0.395;0
1578967200;0.393;0
1578970800;1.38;0
1578974400;2.258;0
1578978000;1.486;0
1578981600;2.076;0
1578985200;1.347;0
1578988800;2.389;0.06
1578992400;2.929;0.32
1578996000;0.452;0.43
1578999600;0.16;0.38
1579003200;0.779;0.23
1579006800;2.022;0.17
1579010400;1.721;0.11
1579014000;0.493;0.02
1579017600;0.81;0
1579021200;1.753;0
1579024800;2.289;0
1579028400;0.693;0
1579032000;0.596;0
1579035600;1.866;0
1579039200;2.336;0
1579042800;1.816;0
1579046400;0.378;0
1579050000;0.417;0
1579053600;1.453;0
1579057200;2.231;0
1579060800;1.127;0
1579064400;0.442;0
1579068000;1.59;0
1579071600;2.473;0.02
1579075200;3.627;0.15
1579078800;0.823;0.25
1579082400;0.196;0.16
1579086000;0.843;0.25
1579089600;2.081;0.28
1579093200;1.525;0.18
1579096800;1.132;0.05
1579100400;0.324;0.04
1579104000;1.534;0
1579107600;2.441;0
1579111200;1.641;0
1579114800;1.194;0
1579118400;1.075;0
1579122000;2.083;0
1579125600;2.421;0
1579129200;0.788;0
1579132800;0.425;0
1579136400;1.011;0
1579140000;2.352;0
1579143600;2.174;0
1579147200;0.443;0
1579150800;0.732;0
1579154400;2.678;0
1579158000;4;0.02
1579161600;3.02;0.78
1579165200;0.317;1.7
1579168800;0.24;1.79
1579172400;1.106;1.47
1579176000;2.063;1.5
1579179600;1.073;1.31
1579183200;0.2;0.95
1579186800;0.166;0.18
1579190400;1.534;0
1579194000;2.125;0
1579197600;1.621;0
1579201200;3.42;0
1579204800;2.3;0
1579208400;0.829;0
1579212000;0.517;0
1579215600;0.411;0
1579219200;2.197;0
1579222800;2.206;0
1579226400;0.534;0
1579230000;0.418;0
1579233600;1.039;0
1579237200;2.331;0
1579240800;3.282;0
1579244400;1.502;0
1579248000;0.247;0.13
1579251600;3.441;0.18
1579255200;2.151;0.09
1579258800;2.028;0.21
1579262400;0.45;0.36
